"from","to"
"Action","action"
"Actor","actor"
"additionalProperties","additional_properties"
"Addr","addr"
"Address","address"
"AdvertiseAddr","advertise_addr"
"Aliases","aliases"
"all","all"
"AllowAllDevices","allow_all_devices"
"AllowNondistributableArtifactsCIDRs","allow_nondistributable_artifacts_cidrs"
"AllowNondistributableArtifactsHostnames","allow_nondistributable_artifacts_hostnames"
"ApiVersion","api_version"
"AppArmorProfile","app_armor_profile"
"Arch","arch"
"Architecture","architecture"
"Args","args"
"ArgsEscaped","args_escaped"
"arguments","arguments"
"AssignedGenericResources","assigned_generic_resources"
"Attachable","attachable"
"AttachStderr","attach_stderr"
"AttachStdin","attach_stdin"
"AttachStdout","attach_stdout"
"Attributes","attributes"
"author","author"
"Author","author"
"Authorization","authorization"
"AutoLockManagers","auto_lock_managers"
"AutoRemove","auto_remove"
"Availability","availability"
"BaseLayer","base_layer"
"BindOptions","bind_options"
"Binds","binds"
"BlkioDeviceReadBps","blkio_device_read_bps"
"BlkioDeviceReadIOps","blkio_device_read_iops"
"BlkioDeviceWriteBps","blkio_device_write_bps"
"BlkioDeviceWriteIOps","blkio_device_write_iops"
"BlkioWeight","blkio_weight"
"BlkioWeightDevice","blkio_weight_device"
"body","body"
"Bridge","bridge"
"BridgeNfIp6tables","bridge_nf_ip6tables"
"BridgeNfIptables","bridge_nf_iptables"
"buildargs","buildargs"
"BuildTime","build_time"
"CACert","ca_cert"
"cachefrom","cachefrom"
"CAConfig","ca_config"
"CanRemove","can_remove"
"Capabilities","capabilities"
"Capability","capability"
"CapAdd","cap_add"
"CapDrop","cap_drop"
"CertIssuerPublicKey","cert_issuer_public_key"
"CertIssuerSubject","cert_issuer_subject"
"Cgroup","cgroup"
"CgroupDriver","cgroup_driver"
"CgroupParent","cgroup_parent"
"CgroupPermissions","cgroup_permissions"
"changes","changes"
"CheckDuplicate","check_duplicate"
"Cluster","cluster"
"ClusterAdvertise","cluster_advertise"
"ClusterStore","cluster_store"
"Cmd","cmd"
"Command","command"
"comment","comment"
"Comment","comment"
"CompletedAt","completed_at"
"Components","components"
"condition","condition"
"Condition","condition"
"Config","config"
"ConfigID","config_id"
"ConfigName","config_name"
"Configs","configs"
"Consistency","consistency"
"ConsoleSize","console_size"
"Constraints","constraints"
"container","container"
"Container","container"
"ContainerConfig","container_config"
"ContainerdCommit","containerd_commit"
"ContainerID","container_id"
"ContainerIDFile","container_idfile"
"Containers","containers"
"ContainersDeleted","containers_deleted"
"ContainersPaused","containers_paused"
"ContainerSpec","container_spec"
"ContainersRunning","containers_running"
"ContainersStopped","containers_stopped"
"ContainerStatus","container_status"
"content_type","content_type"
"ControlAvailable","control_available"
"CpuCfsPeriod","cpu_cfs_period"
"CpuCfsQuota","cpu_cfs_quota"
"CpuCount","cpu_count"
"CpuPercent","cpu_percent"
"cpuperiod","cpuperiod"
"CpuPeriod","cpu_period"
"cpuquota","cpuquota"
"CpuQuota","cpu_quota"
"CpuRealtimePeriod","cpu_realtime_period"
"CpuRealtimeRuntime","cpu_realtime_runtime"
"CPUSet","cpu_set"
"cpusetcpus","cpusetcpus"
"CpusetCpus","cpuset_cpus"
"CpusetMems","cpuset_mems"
"cpushares","cpushares"
"CpuShares","cpu_shares"
"CPUShares","cpu_shares"
"Created","created"
"CreatedAt","created_at"
"CreatedBy","created_by"
"CredentialSpec","credential_spec"
"Data","data"
"DataPathAddr","data_path_addr"
"Dead","dead"
"Debug","debug"
"DefaultRuntime","default_runtime"
"Delay","delay"
"Deleted","deleted"
"description","description"
"Description","description"
"Descriptor","descriptor"
"DesiredState","desired_state"
"Destination","destination"
"Detach","detach"
"detachKeys","detach_keys"
"DetachKeys","detach_keys"
"details","details"
"Details","details"
"DeviceCgroupRules","device_cgroup_rules"
"Devices","devices"
"diff_ids","diff_ids"
"Digest","digest"
"digests","digests"
"Dir","dir"
"Disable","disable"
"Disabled","disabled"
"DiscoveryBackend","discovery_backend"
"DiscreteResourceSpec","discrete_resource_spec"
"DiskQuota","disk_quota"
"Dispatcher","dispatcher"
"Dns","dns"
"DNSConfig","dns_config"
"DnsOptions","dns_options"
"DnsSearch","dns_search"
"dockerfile","dockerfile"
"DockerRootDir","docker_root_dir"
"DockerVersion","docker_version"
"Documentation","documentation"
"Domainname","domainname"
"Driver","driver"
"DriverConfig","driver_config"
"DriverOpts","driver_opts"
"DriverStatus","driver_status"
"ElectionTick","election_tick"
"email","email"
"Enabled","enabled"
"EnableIPv6","enable_ipv6"
"EncryptionConfig","encryption_config"
"Endpoint","endpoint"
"EndpointConfig","endpoint_config"
"EndpointID","endpoint_id"
"EndpointSpec","endpoint_spec"
"Engine","engine"
"EngineVersion","engine_version"
"entrypoint","entrypoint"
"Entrypoint","entrypoint"
"Env","env"
"Err","err"
"Error","error"
"ExecIDs","exec_ids"
"ExitCode","exit_code"
"Expected","expected"
"Experimental","experimental"
"ExperimentalBuild","experimental_build"
"ExposedPorts","exposed_ports"
"ExternalCAs","external_cas"
"extrahosts","extrahosts"
"ExtraHosts","extra_hosts"
"FailureAction","failure_action"
"Features","features"
"File","file"
"filters","filters"
"FinishedAt","finished_at"
"follow","follow"
"force","force"
"Force","force"
"ForceNewCluster","force_new_cluster"
"forcerm","forcerm"
"ForceRotate","force_rotate"
"ForceUpdate","force_update"
"fromImage","from_image"
"fromSrc","from_src"
"Gateway","gateway"
"GenericResources","generic_resources"
"GID","gid"
"GitCommit","git_commit"
"Global","global"
"GlobalIPv6Address","global_ipv6_address"
"GlobalIPv6PrefixLen","global_ipv6_prefix_len"
"GoVersion","go_version"
"GraphDriver","graph_driver"
"GroupAdd","group_add"
"Groups","groups"
"h","h"
"HairpinMode","hairpin_mode"
"Hard","hard"
"Healthcheck","healthcheck"
"HealthCheck","health_check"
"HeartbeatPeriod","heartbeat_period"
"HeartbeatTick","heartbeat_tick"
"HostConfig","host_config"
"HostIp","host_ip"
"Hostname","hostname"
"HostnamePath","hostname_path"
"HostPort","host_port"
"Hosts","hosts"
"HostsPath","hosts_path"
"HttpProxy","http_proxy"
"HttpsProxy","https_proxy"
"id","id"
"Id","id"
"ID","id"
"IdentityToken","identity_token"
"Image","image"
"ImageID","image_id"
"Images","images"
"ImagesDeleted","images_deleted"
"imagesTarball","images_tarball"
"Index","index"
"IndexConfigs","index_configs"
"IndexServerAddress","index_server_address"
"Ingress","ingress"
"InitBinary","init_binary"
"InitCommit","init_commit"
"InitPath","init_path"
"InitSha1","init_sha1"
"inputImage","input_image"
"inputStream","input_stream"
"InsecureRegistryCIDRs","insecure_registry_cidrs"
"insertDefaults","insert_defaults"
"Interface","interface"
"Internal","internal"
"Interval","interval"
"IOMaximumBandwidth","io_maximum_bandwidth"
"IOMaximumIOps","io_maximum_iops"
"IP","ip"
"IPAddress","ip_address"
"IPAM","ipam"
"IPAMConfig","ipam_config"
"IpcHost","ipc_host"
"IpcMode","ipc_mode"
"IPPrefixLen","ip_prefix_len"
"IPv4Address","ipv4_address"
"IPv4Forwarding","ipv4_forwarding"
"IPv6Address","ipv6_address"
"IPv6Gateway","ipv6_gateway"
"is_automated","is_automated"
"is_official","is_official"
"Isolation","isolation"
"JoinToken","join_token"
"JoinTokens","join_tokens"
"KeepOldSnapshots","keep_old_snapshots"
"KernelMemory","kernel_memory"
"KernelVersion","kernel_version"
"Kind","kind"
"labels","labels"
"Labels","labels"
"LastTagTime","last_tag_time"
"Layers","layers"
"LayersSize","layers_size"
"Leader","leader"
"Level","level"
"limit","limit"
"Limits","limits"
"link","link"
"LinkLocalIPs","link_local_ips"
"LinkLocalIPv6Address","link_local_ipv6_address"
"LinkLocalIPv6PrefixLen","link_local_ipv6_prefix_len"
"Links","links"
"Linux","linux"
"ListenAddr","listen_addr"
"LiveRestoreEnabled","live_restore_enabled"
"LocalNodeState","local_node_state"
"Log","log"
"LogConfig","log_config"
"LogDriver","log_driver"
"LogEntriesForSlowFollowers","log_entries_for_slow_followers"
"LoggingDriver","logging_driver"
"LogPath","log_path"
"logs","logs"
"MacAddress","mac_address"
"Manager","manager"
"Managers","managers"
"ManagerStatus","manager_status"
"MaxAttempts","max_attempts"
"MaxFailureRatio","max_failure_ratio"
"MaximumRetryCount","maximum_retry_count"
"MediaType","media_type"
"memory","memory"
"Memory","memory"
"MemoryBytes","memory_bytes"
"MemoryLimit","memory_limit"
"MemoryReservation","memory_reservation"
"MemorySwap","memory_swap"
"MemorySwappiness","memory_swappiness"
"memswap","memswap"
"MemTotal","mem_total"
"Message","message"
"Metadata","metadata"
"MinAPIVersion","min_apiversion"
"Mirrors","mirrors"
"Mode","mode"
"Monitor","monitor"
"MountLabel","mount_label"
"Mountpoint","mountpoint"
"Mounts","mounts"
"name","name"
"Name","name"
"NamedResourceSpec","named_resource_spec"
"names","names"
"Names","names"
"Nameservers","nameservers"
"NanoCPUs","nano_cpus"
"NCPU","n_cpu"
"Network","network"
"NetworkDisabled","network_disabled"
"NetworkID","network_id"
"NetworkingConfig","networking_config"
"networkmode","networkmode"
"NetworkMode","network_mode"
"Networks","networks"
"NetworksDeleted","networks_deleted"
"NetworkSettings","network_settings"
"NEventsListener","n_events_listener"
"NFd","n_fd"
"NGoroutines","n_goroutines"
"nocache","nocache"
"NoCopy","no_copy"
"Node","node"
"NodeAddr","node_addr"
"NodeCertExpiry","node_cert_expiry"
"NodeID","node_id"
"Nodes","nodes"
"noOverwriteDirNonDir","no_overwrite_dir_non_dir"
"NoProxy","no_proxy"
"noprune","noprune"
"Official","official"
"OnBuild","on_build"
"OomKillDisable","oom_kill_disable"
"OOMKilled","oom_killed"
"OomScoreAdj","oom_score_adj"
"OpenStderr","open_stderr"
"OpenStdin","open_stdin"
"OpenStdout","open_stdout"
"OperatingSystem","operating_system"
"Options","options"
"Orchestration","orchestration"
"Order","order"
"Os","os"
"OS","os"
"OSFeatures","os_features"
"OSType","os_type"
"OsVersion","os_version"
"OSVersion","os_version"
"Parallelism","parallelism"
"Parent","parent"
"ParentId","parent_id"
"password","password"
"path","path"
"Path","path"
"PathInContainer","path_in_container"
"PathOnHost","path_on_host"
"pause","pause"
"Paused","paused"
"Pid","pid"
"PID","pid"
"PidHost","pid_host"
"PidMode","pid_mode"
"PidsLimit","pids_limit"
"Placement","placement"
"platform","platform"
"Platform","platform"
"Platforms","platforms"
"PluginPrivilege","plugin_privilege"
"PluginReference","plugin_reference"
"Plugins","plugins"
"PluginSpec","plugin_spec"
"PortBindings","port_bindings"
"PortMapping","port_mapping"
"Ports","ports"
"Preferences","preferences"
"Prefix","prefix"
"PrefixLen","prefix_len"
"PrivatePort","private_port"
"privileged","privileged"
"Privileged","privileged"
"Privileges","privileges"
"ProcessConfig","process_config"
"Processes","processes"
"ProcessLabel","process_label"
"PropagatedMount","propagated_mount"
"Propagation","propagation"
"Protocol","protocol"
"ps_args","ps_args"
"PublicPort","public_port"
"PublishAllPorts","publish_all_ports"
"PublishedPort","published_port"
"PublishMode","publish_mode"
"pull","pull"
"q","q"
"quiet","quiet"
"Raft","raft"
"Rate","rate"
"Reachability","reachability"
"ReadOnly","read_only"
"ReadonlyRootfs","readonly_rootfs"
"RefCount","ref_count"
"Registry","registry"
"registry_auth","registry_auth"
"registry_config","registry_config"
"registryAuthFrom","registry_auth_from"
"RegistryConfig","registry_config"
"remote","remote"
"Remote","remote"
"RemoteAddrs","remote_addrs"
"RemoteManagers","remote_managers"
"Replicas","replicas"
"Replicated","replicated"
"repo","repo"
"RepoDigests","repo_digests"
"RepoTags","repo_tags"
"Reservation","reservation"
"ResolvConfPath","resolv_conf_path"
"Resources","resources"
"RestartCount","restart_count"
"Restarting","restarting"
"RestartPolicy","restart_policy"
"Retries","retries"
"rm","rm"
"Role","role"
"rollback","rollback"
"RollbackConfig","rollback_config"
"rootfs","rootfs"
"RootFS","root_fs"
"RootRotationInProgress","root_rotation_in_progress"
"rotateManagerToken","rotate_manager_token"
"rotateManagerUnlockKey","rotate_manager_unlock_key"
"rotateWorkerToken","rotate_worker_token"
"RuncCommit","runc_commit"
"Running","running"
"Runtime","runtime"
"runtimeArgs","runtime_args"
"Runtimes","runtimes"
"RW","rw"
"SandboxID","sandbox_id"
"SandboxKey","sandbox_key"
"scope","scope"
"Scope","scope"
"Search","search"
"SecondaryIPAddresses","secondary_ipaddresses"
"SecondaryIPv6Addresses","secondary_ipv6_addresses"
"SecretID","secret_id"
"SecretName","secret_name"
"Secrets","secrets"
"Secure","secure"
"SecurityOpt","security_opt"
"SecurityOptions","security_options"
"SELinuxContext","selinux_context"
"serveraddress","serveraddress"
"ServerVersion","server_version"
"ServiceID","service_id"
"Settable","settable"
"Settings","settings"
"SharedSize","shared_size"
"Shell","shell"
"shmsize","shmsize"
"ShmSize","shm_size"
"signal","signal"
"SigningCACert","signing_cacert"
"SigningCAKey","signing_cakey"
"since","since"
"size","size"
"Size","size"
"SizeBytes","size_bytes"
"SizeRootFs","size_root_fs"
"SizeRw","size_rw"
"Slot","slot"
"SnapshotInterval","snapshot_interval"
"Socket","socket"
"Soft","soft"
"Source","source"
"SpaceReclaimed","space_reclaimed"
"Spec","spec"
"Spread","spread"
"SpreadDescriptor","spread_descriptor"
"squash","squash"
"star_count","star_count"
"StartedAt","started_at"
"StartPeriod","start_period"
"State","state"
"Status","status"
"StatusCode","status_code"
"stderr","stderr"
"stdin","stdin"
"StdinOnce","stdin_once"
"stdout","stdout"
"StopGracePeriod","stop_grace_period"
"StopSignal","stop_signal"
"StopTimeout","stop_timeout"
"StorageOpt","storage_opt"
"stream","stream"
"SwapLimit","swap_limit"
"Swarm","swarm"
"Sysctls","sysctls"
"SystemStatus","system_status"
"SystemTime","system_time"
"t","t"
"tag","tag"
"Tags","tags"
"tail","tail"
"tarContext","tar_context"
"Target","target"
"TargetPort","target_port"
"TaskDefaults","task_defaults"
"TaskHistoryRetentionLimit","task_history_retention_limit"
"TaskTemplate","task_template"
"term","term"
"Test","test"
"time","time"
"timeNano","time_nano"
"timeout","timeout"
"Timeout","timeout"
"Timestamp","timestamp"
"timestamps","timestamps"
"Titles","titles"
"TLSInfo","tls_info"
"Tmpfs","tmpfs"
"TmpfsOptions","tmpfs_options"
"TrustRoot","trust_root"
"tty","tty"
"Tty","tty"
"TTY","tty"
"type","type"
"Type","type"
"Types","types"
"UID","uid"
"Ulimits","ulimits"
"UnlockKey","unlock_key"
"Untagged","untagged"
"until","until"
"UpdateConfig","update_config"
"UpdatedAt","updated_at"
"UpdateStatus","update_status"
"URL","url"
"URLs","urls"
"UsageData","usage_data"
"user","user"
"User","user"
"username","username"
"UsernsMode","userns_mode"
"UTSMode","uts_mode"
"v","v"
"Value","value"
"Variant","variant"
"verbose","verbose"
"version","version"
"Version","version"
"VirtualIPs","virtual_ips"
"VirtualSize","virtual_size"
"Volume","volume"
"VolumeDriver","volume_driver"
"VolumeOptions","volume_options"
"Volumes","volumes"
"VolumesDeleted","volumes_deleted"
"VolumesFrom","volumes_from"
"w","w"
"Warning","warning"
"Warnings","warnings"
"Weight","weight"
"Window","window"
"WorkDir","work_dir"
"Worker","worker"
"WorkingDir","working_dir"
